 1511760287	 149	 3683	 197	
 1511760297	 152	 3880	 207	
 1511760307	 159	 4065	 219	
 1511760317	 164	 4260	 233	
 1511760327	 172	 4430	 238	
 1511760337	 180	 4630	 246	
 1511760347	 190	 4840	 259	
 1511760357	 203	 5006	 270	
 1511760367	 209	 5175	 283	
 1511760377	 215	 5357	 297	
 1511760387	 228	 5546	 313	
 1511760397	 231	 5743	 324	
 1511760407	 241	 5937	 334	
 1511760417	 245	 6131	 347	
 1511760427	 252	 6317	 361	
 1511760437	 258	 6495	 368	
 1511760447	 264	 6678	 378	
 1511760457	 273	 6807	 390	
 1511760467	 279	 6979	 404	
 1511760477	 290	 7180	 417	
 1511760487	 298	 7314	 427	
 1511760497	 303	 7501	 437	
 1511760507	 307	 7690	 449	
 1511760517	 315	 7830	 456	
 1511760527	 326	 8015	 468	
 1511760537	 338	 8212	 474	
 1511760547	 342	 8374	 477	
 1511760557	 352	 8553	 492	
 1511760567	 354	 8730	 500	
 1511760577	 361	 8895	 506	
 1511760587	 369	 9098	 511	
 1511760597	 380	 9293	 519	
 1511760607	 389	 9486	 532	
 1511760617	 394	 9685	 540	
 1511760627	 404	 9885	 548	
 1511760637	 409	 10063	 561	
 1511760647	 414	 10264	 564	
 1511760657	 423	 10455	 575	
 1511760667	 430	 10646	 584	
 1511760677	 440	 10836	 597	
 1511760687	 449	 11019	 609	
 1511760697	 457	 11210	 618	
 1511760707	 464	 11401	 629	
 1511760717	 471	 11603	 640	
 1511760727	 479	 11795	 648	
 1511760737	 489	 11978	 658	
 1511760747	 494	 12178	 664	
 1511760757	 503	 12375	 671	
 1511760767	 508	 12560	 681	
 1511760777	 518	 12747	 689	
 1511760787	 524	 12944	 695	
 1511760797	 527	 13090	 699	
 1511760807	 534	 13281	 709	
 1511760817	 541	 13488	 716	
 1511760827	 546	 13677	 728	
 1511760837	 553	 13874	 736	
 1511760847	 557	 14073	 746	
 1511760858	 565	 14259	 759	
 1511760868	 576	 14449	 768	
 1511760878	 585	 14647	 773	
 1511760888	 591	 14839	 778	
 1511760898	 600	 15028	 797	
 1511760908	 608	 15220	 809	
 1511760918	 619	 15452	 827	
 1511760928	 622	 15661	 834	
 1511760938	 628	 15845	 842	
 1511760948	 640	 16068	 852	
 1511760958	 651	 16287	 862	
 1511760968	 657	 16474	 876	
 1511760978	 663	 16667	 888	
 1511760988	 674	 16868	 896	
 1511760998	 681	 17075	 903	
 1511761008	 685	 17317	 914	
 1511761018	 689	 17524	 925	
 1511761028	 695	 17716	 933	
 1511761038	 703	 17910	 943	
 1511761048	 712	 18103	 947	
 1511761058	 719	 18296	 963	
 1511761068	 722	 18492	 973	
 1511761078	 728	 18682	 985	
 1511761088	 739	 18879	 996	
 1511761098	 746	 19086	 1012	
 1511761108	 753	 19275	 1022	
 1511761118	 759	 19473	 1035	
 1511761128	 768	 19681	 1043	
 1511761138	 783	 19879	 1055	
 1511761148	 791	 20065	 1063	
 1511761158	 798	 20255	 1074	
 1511761168	 806	 20447	 1088	
 1511761178	 815	 20642	 1096	
 1511761188	 818	 20845	 1104	
 1511761198	 826	 21038	 1118	
 1511761208	 833	 21236	 1127	
 1511761218	 839	 21378	 1136	
 1511761228	 840	 21555	 1142	
 1511761238	 851	 21746	 1151	
 1511761248	 859	 21934	 1165	
 1511761258	 865	 22117	 1177	
 1511761268	 872	 22256	 1191	
 1511761278	 877	 22436	 1201	
 1511761288	 885	 22626	 1212	
 1511761298	 891	 22798	 1227	
 1511761308	 899	 22943	 1236	
 1511761318	 908	 23129	 1245	
 1511761328	 916	 23325	 1253	
 1511761338	 921	 23464	 1260	
 1511761348	 925	 23655	 1270	
 1511761358	 931	 23862	 1280	
 1511761368	 941	 24059	 1290	
 1511761378	 950	 24244	 1300	
 1511761388	 962	 24448	 1308	
 1511761398	 968	 24651	 1324	
 1511761408	 976	 24848	 1332	
 1511761418	 986	 25017	 1338	
 1511761428	 991	 25224	 1347	
 1511761438	 1002	 25430	 1355	
 1511761448	 1008	 25620	 1364	
 1511761458	 1016	 25811	 1374	
 1511761468	 1018	 25992	 1396	
 1511761478	 1029	 26173	 1410	
 1511761488	 1033	 26353	 1419	
 1511761498	 1043	 26531	 1432	
 1511761508	 1052	 26700	 1443	
 1511761518	 1060	 26866	 1454	
 1511761528	 1068	 27064	 1468	
 1511761538	 1078	 27250	 1476	
 1511761548	 1083	 27405	 1482	
 1511761558	 1087	 27591	 1491	
 1511761568	 1096	 27782	 1500	
 1511761578	 1108	 27964	 1508	
 1511761588	 1114	 28157	 1521	
 1511761598	 1121	 28339	 1528	
 1511761608	 1129	 28536	 1539	
 1511761618	 1141	 28727	 1550	
 1511761628	 1148	 28922	 1557	

 1511903205	 413	 9721	 582	
 1511903206	 413	 9721	 582	
 1511903207	 413	 9739	 583	
 1511903208	 415	 9768	 586	
 1511903209	 415	 9768	 586	
 1511903210	 416	 9816	 587	
 1511903211	 416	 9816	 587	
 1511903212	 416	 9839	 587	
 1511903213	 416	 9862	 592	
 1511903214	 416	 9862	 592	
 1511903215	 418	 9910	 592	
 1511903216	 418	 9910	 592	
 1511903217	 418	 9951	 593	
 1511903218	 418	 9962	 593	

<built-in method strip of str object at 0x7fb06f0ec1e0>	<built-in method strip of str object at 0x7fb06f0ec180>	<built-in method strip of str object at 0x7fb06f0ec240>	<built-in method strip of str object at 0x7fb06f0ec1e0>	
